assessor_id,canal,anos_de_casa,peso_atracao_carteira,prob_saida_calibrada,risco_saida,qtd_clientes_carteira
ADV0000,Broker-Dealer,10.7,2.605,0.1134,1,26
ADV0001,RIA,7.4,2.11,0.0542,0,30
ADV0002,Broker-Dealer,6.0,1.9,0.1022,0,18
ADV0003,Broker-Dealer,5.2,1.78,0.1,0,22
ADV0004,Wirehouse,4.6,1.69,0.1679,0,24
ADV0005,Wirehouse,13.0,2.95,0.154,0,37
ADV0006,Wirehouse,8.2,2.23,0.1377,0,29
ADV0007,RIA,4.9,1.735,0.068,0,19
ADV0008,Broker-Dealer,3.8,1.57,0.1289,0,16
ADV0009,Broker-Dealer,9.9,2.485,0.1144,0,35
ADV0010,Wirehouse,12.8,2.92,0.1446,0,20
ADV0011,RIA,12.1,2.815,0.0656,0,36
ADV0012,RIA,3.3,1.495,0.0662,0,19
ADV0013,Wirehouse,5.2,1.78,0.1362,0,14
ADV0014,Wirehouse,4.5,1.675,0.1786,1,22
ADV0015,Wirehouse,5.7,1.855,0.1504,0,14
ADV0016,Wirehouse,11.2,2.68,0.1544,0,26
ADV0017,Broker-Dealer,15.4,3.31,0.0868,0,43
ADV0018,Broker-Dealer,8.4,2.26,0.1071,0,25
ADV0019,Wirehouse,3.9,1.585,0.1791,0,18
ADV0020,Broker-Dealer,6.4,1.96,0.1143,0,14
ADV0021,Wirehouse,17.2,3.58,0.1223,0,32
ADV0022,Wirehouse,7.0,2.05,0.1452,1,19
ADV0023,Broker-Dealer,5.2,1.78,0.1145,0,12
ADV0024,Broker-Dealer,5.5,1.825,0.102,0,19
ADV0025,Broker-Dealer,8.4,2.26,0.1058,0,27
ADV0026,Wirehouse,3.4,1.51,0.1872,0,17
ADV0027,Broker-Dealer,4.4,1.66,0.1397,0,20
ADV0028,Broker-Dealer,12.0,2.8,0.1197,0,29
ADV0029,Wirehouse,8.2,2.23,0.1427,0,31
ADV0030,Broker-Dealer,7.0,2.05,0.1175,0,20
ADV0031,Wirehouse,12.3,2.845,0.1595,0,42
ADV0032,Wirehouse,3.7,1.555,0.1735,0,13
ADV0033,RIA,5.1,1.765,0.0642,0,21
ADV0034,RIA,8.1,2.215,0.056,0,16
ADV0035,RIA,7.9,2.185,0.0652,0,29
ADV0036,Wirehouse,1.8,1.27,0.2067,0,9
ADV0037,Wirehouse,4.7,1.705,0.1863,0,19
ADV0038,Broker-Dealer,5.8,1.87,0.1127,0,20
ADV0039,Broker-Dealer,8.7,2.305,0.1042,0,21
ADV0040,Wirehouse,7.8,2.17,0.1452,0,22
ADV0041,Broker-Dealer,6.2,1.93,0.1061,1,26
ADV0042,Wirehouse,1.0,1.15,0.2352,0,12
ADV0043,RIA,6.4,1.96,0.0608,0,17
ADV0044,Wirehouse,6.8,2.02,0.1616,0,19
ADV0045,Broker-Dealer,26.8,5.02,0.0857,0,69
ADV0046,Wirehouse,5.7,1.855,0.1543,1,18
ADV0047,Broker-Dealer,8.1,2.215,0.1208,0,30
ADV0048,Broker-Dealer,13.7,3.055,0.1202,0,39
ADV0049,Wirehouse,10.8,2.62,0.1398,0,25
