assessor_id,canal,anos_de_casa,peso_atracao_carteira,prob_saida_calibrada,risco_saida,qtd_clientes_carteira
ADV0000,Broker-Dealer,6.8,2.02,0.111,0,0
ADV0001,RIA,3.9,1.585,0.069,0,3
ADV0002,Broker-Dealer,0.8,1.12,0.1665,0,2
ADV0003,Broker-Dealer,7.5,2.125,0.111,1,1
ADV0004,Wirehouse,3.4,1.51,0.1725,0,5
ADV0005,Wirehouse,6.0,1.9,0.15,0,4
ADV0006,Wirehouse,9.3,2.395,0.15,0,6
ADV0007,RIA,11.6,2.74,0.06,0,5
ADV0008,Broker-Dealer,4.5,1.675,0.1276,0,8
ADV0009,Broker-Dealer,3.9,1.585,0.1276,0,2
ADV0010,Wirehouse,2.2,1.33,0.1725,0,3
ADV0011,ria,12.0,2.8,0.06,0,4
ADV0012,RIA,22.8,4.42,0.045,0,12
ADV0013,Wirehouse,12.8,2.92,0.15,0,9
ADV0014,Wirehouse,14.7,3.205,0.15,0,4
ADV0015,Wirehouse,3.7,1.555,0.1725,0,0
ADV0016,Wirehouse,8.9,2.335,0.15,0,6
ADV0017,Broker-Dealer,11.0,2.65,0.111,0,1
ADV0018,Broker-Dealer,0.2,1.03,0.1665,0,2
ADV0019,Wirehouse,2.8,1.42,0.1725,0,3
ADV0020,Broker-Dealer,17.9,3.685,0.0832,0,7
ADV0021,Wirehouse,1.8,1.27,0.225,0,2
ADV0022,Wirehouse,16.1,3.415,0.1125,0,9
ADV0023,Broker-Dealer,1.8,1.27,0.1665,0,2
ADV0024,Broker-Dealer,2.9,1.435,0.1276,0,3
ADV0025,Broker-Dealer,9.0,2.35,0.111,0,9
ADV0026,Wirehouse,6.9,2.035,0.15,1,4
ADV0027,Broker-Dealer,4.9,1.735,0.1276,0,4
ADV0028,Broker-Dealer,17.4,3.61,0.0832,0,7
ADV0029,Wirehouse,2.2,1.33,0.1725,0,1
ADV0030,Broker-Dealer,5.8,1.87,0.111,0,6
ADV0031,Wirehouse,9.8,2.47,0.15,1,4
ADV0032,Wirehouse,8.0,2.2,0.15,0,4
ADV0033,RIA,4.0,1.6,0.069,0,3
ADV0034,RIA,4.1,1.615,0.069,0,4
ADV0035,R.I.A.,11.5,2.725,0.06,0,10
ADV0036,Wirehouse,11.8,2.77,0.15,0,4
ADV0037,Wirehouse,8.1,2.215,0.15,0,4
ADV0038,Broker-Dealer,3.3,1.495,0.1276,0,6
ADV0039,Broker-Dealer,4.2,1.63,0.1276,0,0
ADV0040,Wirehouse,6.4,1.96,0.15,0,2
ADV0041,Broker-Dealer,7.1,2.065,0.111,0,5
ADV0042,Wirehouse,9.5,2.425,0.15,0,9
ADV0043,RIA,5.6,1.84,0.06,0,1
ADV0044,Wirehouse,11.3,2.695,0.15,0,3
ADV0045,Broker-Dealer,11.2,2.68,0.111,0,7
ADV0046,Wirehouse,15.0,3.25,0.15,0,7
ADV0047,Broker-Dealer,6.6,1.99,0.111,1,5
ADV0048,Broker-Dealer,8.2,2.23,0.111,0,4
ADV0049,Wirehouse,5.9,1.885,0.15,0,2
ADV0050,R.I.A.,3.3,1.495,0.069,0,4
ADV0051,Broker-Dealer,22.5,4.375,0.0832,0,14
ADV0052,RIA,13.8,3.07,0.06,0,8
ADV0053,RIA,11.1,2.665,0.06,0,9
ADV0054,Broker-Dealer,6.5,1.975,0.111,0,1
ADV0055,RIA,3.1,1.465,0.069,0,2
ADV0056,Wirehouse,12.4,2.86,0.15,0,3
ADV0057,Wirehouse,5.9,1.885,0.15,0,2
ADV0058,Wirehouse,8.7,2.305,0.15,0,1
ADV0059,Wirehouse,4.2,1.63,0.1725,0,2
ADV0060,Broker-Dealer,7.8,2.17,0.111,0,4
ADV0061,Wirehouse,4.4,1.66,0.1725,0,2
ADV0062,RIA,4.5,1.675,0.069,1,2
ADV0063,Broker-Dealer,7.7,2.155,0.111,0,2
ADV0064,Wirehouse,1.8,1.27,0.225,0,1
ADV0065,Broker-Dealer,1.8,1.27,0.1665,0,3
ADV0066,Wirehouse,3.7,1.555,0.1725,0,5
ADV0067,RIA,5.6,1.84,0.06,0,3
ADV0068,Wirehouse,11.6,2.74,0.15,1,7
ADV0069,RIA,5.8,1.87,0.06,0,4
ADV0070,Broker-Dealer,6.4,1.96,0.111,0,2
ADV0071,Wirehouse,5.2,1.78,0.15,0,5
ADV0072,Wirehouse,8.2,2.23,0.15,0,5
ADV0073,RIA,3.3,1.495,0.069,0,3
ADV0074,Broker-Dealer,6.0,1.9,0.111,0,4
ADV0075,Broker-Dealer,8.6,2.29,0.111,0,6
ADV0076,Broker-Dealer,7.7,2.155,0.111,1,1
ADV0077,Wirehouse,6.6,1.99,0.15,0,5
ADV0078,Broker-Dealer,6.7,2.005,0.111,0,4
