cliente_id,segmento,meses_cliente,qtd_produtos,retorno_12m_pct,freq_contato_mes,saldo_bi,churn,assessor_id,risco_saida_assessor,auc_exposto,dias_desde_ultimo_contato,variacao_freq_contato_3m,tempo_resposta_medio_horas,qtd_emails_marketing_recebidos
CLI00000,Varejo,125,6,7.89,4,1.7262,1,ADV0112,0,0.0,37.8,-0.349,8.0,4
CLI00001,Wealth,7,6,7.17,7,0.1693,0,ADV0285,0,0.0,12.4,-0.036,11.3,3
CLI00002,Alta Renda,29,6,9.69,0,0.0974,0,ADV0220,0,0.0,3.5,0.356,16.4,2
CLI00003,Varejo,139,1,11.86,2,0.5976,0,ADV0180,0,0.0,1.3,0.124,21.0,5
CLI00004,Varejo,33,2,5.7,2,0.1295,0,ADV0048,0,0.0,5.5,-0.291,2.0,3
CLI00005,Varejo,134,1,17.32,2,0.0495,1,ADV0048,0,0.0,21.3,-0.272,34.7,4
CLI00006,Varejo,111,5,14.34,4,0.0819,1,ADV0019,0,0.0,9.5,-0.082,55.0,1
CLI00007,Alta Renda,79,4,9.97,0,0.2481,0,ADV0259,0,0.0,23.3,-0.258,17.6,6
CLI00008,Varejo,58,6,7.71,1,0.0921,0,ADV0180,0,0.0,20.3,-0.023,29.9,3
CLI00009,Alta Renda,26,2,11.13,3,0.1015,0,ADV0213,1,0.1015,12.1,-0.064,24.5,1
CLI00010,Varejo,29,3,15.28,2,0.0435,0,ADV0007,0,0.0,7.5,-0.08,20.6,2
CLI00011,Wealth,4,8,14.63,3,1.0682,0,ADV0291,0,0.0,10.9,-0.09,25.1,5
CLI00012,Alta Renda,99,3,15.95,4,0.1059,0,ADV0250,0,0.0,16.7,0.324,27.8,4
CLI00013,Varejo,141,4,9.48,6,0.0655,0,ADV0065,0,0.0,4.4,-0.08,28.5,9
CLI00014,Varejo,39,2,-0.78,2,0.0753,1,ADV0057,0,0.0,37.0,-0.431,9.4,8
CLI00015,Varejo,15,1,16.74,2,0.4692,0,ADV0057,0,0.0,16.6,-0.013,26.1,0
CLI00016,Varejo,119,1,10.8,3,0.3482,0,ADV0092,0,0.0,17.9,-0.111,11.2,5
CLI00017,Varejo,29,5,14.3,4,0.0861,1,ADV0158,0,0.0,22.1,0.0,29.1,3
CLI00018,Varejo,75,5,18.51,3,0.1724,0,ADV0130,0,0.0,30.3,0.014,18.6,7
CLI00019,Varejo,116,1,21.72,3,0.2369,1,ADV0088,0,0.0,17.9,0.12,25.2,1
CLI00020,Varejo,32,3,8.77,3,0.0662,0,ADV0183,0,0.0,21.1,-0.189,31.6,6
CLI00021,Varejo,130,8,12.06,2,0.0223,0,ADV0042,0,0.0,7.6,-0.045,7.5,8
CLI00022,Varejo,84,6,17.24,5,0.3229,1,ADV0089,0,0.0,42.3,-0.369,17.5,4
CLI00023,Varejo,22,3,7.95,2,0.0711,1,ADV0110,1,0.0711,25.0,-0.024,43.4,4
CLI00024,Varejo,27,8,9.06,1,0.293,0,ADV0138,0,0.0,7.6,0.036,14.8,6
CLI00025,Alta Renda,81,5,9.03,3,0.2509,0,ADV0236,0,0.0,9.2,0.037,10.4,5
CLI00026,Varejo,126,4,11.38,4,0.1777,0,ADV0062,1,0.1777,2.0,0.092,12.7,3
CLI00027,Varejo,92,8,10.58,2,0.095,0,ADV0155,1,0.095,9.2,0.123,10.3,4
CLI00028,Varejo,21,1,9.01,2,0.0725,1,ADV0178,0,0.0,16.9,0.087,24.4,7
CLI00029,Varejo,47,5,7.44,2,0.0376,1,ADV0016,0,0.0,22.7,-0.096,17.8,6
CLI00030,Varejo,101,5,14.91,3,0.0743,1,ADV0182,0,0.0,21.2,-0.493,13.4,5
CLI00031,Varejo,84,6,17.12,1,0.3463,0,ADV0052,0,0.0,5.8,0.224,19.6,5
CLI00032,Varejo,6,1,17.73,2,1.0173,0,ADV0022,0,0.0,12.6,0.169,18.2,3
