cliente_id,segmento,meses_cliente,qtd_produtos,retorno_12m_pct,freq_contato_mes,auc_milhoes,churn,assessor_id,risco_saida_assessor,prob_saida_assessor,auc_exposto,dias_desde_ultimo_contato,variacao_freq_contato_3m,tempo_resposta_medio_horas,qtd_emails_marketing_recebidos,sem_historico_12m,cliente_novo_sem_contato_hist
CLI00000,Alta Renda,130,7,6.95,2.6315789473684212,3.268,1,ADV0018,0,0.1071,0.35,37.8,-0.349,8.0,4,0,0
CLI00001,Wealth,12,6,19.12,2.0,47.588,0,ADV0048,0,0.1202,5.72,12.4,-0.036,11.3,3,0,0
CLI00002,Private,34,5,13.98,3.0,14.924,0,ADV0037,0,0.1863,2.78,3.5,0.356,16.4,2,0,0
CLI00003,Private,38,1,17.37,4.0,28.297,0,ADV0030,0,0.1175,3.325,1.3,0.124,21.0,5,0,0
CLI00004,Alta Renda,139,8,7.91,3.0,4.652,0,ADV0007,0,0.068,0.316,5.5,-0.291,2.0,3,0,0
CLI00005,Alta Renda,116,4,7.62,3.0,10.69,0,ADV0007,0,0.068,0.727,21.1,-0.02,21.1,4,0,0
CLI00006,Alta Renda,84,3,9.99,3.0,10.462,1,ADV0002,0,0.1022,1.069,9.5,-0.082,55.0,1,0,0
CLI00007,Wealth,63,4,8.04,2.963855421686747,89.44,0,ADV0045,0,0.0857,7.665,23.3,-0.258,17.6,6,0,0
CLI00008,Private,31,8,14.46,5.0,16.227,0,ADV0030,0,0.1175,1.907,20.3,-0.023,29.9,3,0,0
CLI00009,Private,34,8,8.35,2.0,23.536,0,ADV0035,0,0.0652,1.535,12.1,-0.064,24.5,1,0,0
CLI00010,Alta Renda,9,5,6.58,1.0,23.714,1,ADV0000,1,0.1134,2.689,7.8,-0.053,39.0,2,0,0
CLI00011,Family Office,104,5,12.1,3.0,2102.366,0,ADV0048,0,0.1202,252.704,10.9,-0.09,25.1,5,0,0
CLI00012,Wealth,44,5,6.08,4.0,111.253,0,ADV0043,0,0.0608,6.764,16.7,0.324,27.8,4,0,0
CLI00013,Alta Renda,20,4,3.94,2.816326530612245,4.314,0,ADV0010,0,0.1446,0.624,4.4,-0.08,28.5,9,0,0
CLI00014,Alta Renda,124,5,12.06,2.0,15.619,0,ADV0009,0,0.1144,1.787,32.3,0.011,5.0,8,0,0
CLI00015,Alta Renda,34,8,4.15,2.6315789473684212,4.234,0,ADV0009,0,0.1144,0.484,16.6,-0.013,26.1,0,0,0
CLI00016,Alta Renda,80,1,14.76,3.0,9.217,0,ADV0015,0,0.1504,1.386,17.9,-0.111,11.2,5,0,0
CLI00017,Private,121,5,5.64,1.0,13.886,0,ADV0026,0,0.1872,2.599,20.2,0.017,29.1,3,0,0
CLI00018,Alta Renda,37,2,2.09,2.0,11.435,1,ADV0021,0,0.1223,1.399,44.4,-0.181,26.1,7,0,0
CLI00019,Alta Renda,135,7,10.27,0.0,3.0,1,ADV0014,1,0.1786,0.536,17.9,0.12,25.2,1,0,0
CLI00020,Private,89,4,12.11,2.0,34.439,0,ADV0030,0,0.1175,4.047,21.1,-0.189,31.6,6,0,0
CLI00021,Alta Renda,27,2,13.56,2.0,11.554,0,ADV0006,0,0.1377,1.591,7.6,-0.045,7.5,8,0,0
CLI00022,Alta Renda,32,5,12.22,1.0,14.991,0,ADV0015,0,0.1504,2.255,39.0,0.167,10.8,4,0,0
CLI00023,Alta Renda,86,8,7.05,2.6315789473684212,12.79,0,ADV0018,0,0.1071,1.37,14.3,-0.04,36.3,4,0,0
CLI00024,Private,131,1,14.49,2.0,8.612,0,ADV0022,1,0.1452,1.25,7.6,0.036,14.8,6,0,0
CLI00025,Private,97,3,15.53,1.0,40.552,0,ADV0040,0,0.1452,5.888,9.2,0.037,10.4,5,0,0
CLI00026,Alta Renda,26,6,6.44,4.0,21.655,0,ADV0010,0,0.1446,3.131,2.0,0.092,12.7,3,0,0
CLI00027,Private,52,7,10.74,1.0,28.259,0,ADV0025,0,0.1058,2.99,9.2,0.123,10.3,4,0,0
CLI00028,Private,106,6,10.35,4.0,87.663,0,ADV0029,0,0.1427,12.51,0.9,-0.038,22.5,7,0,0
CLI00029,Alta Renda,89,5,12.43,0.0,11.903,0,ADV0002,0,0.1022,1.216,22.1,-0.2,10.5,6,0,0
CLI00030,Private,11,7,,4.0,24.765,0,ADV0030,0,0.1175,2.91,17.6,-0.268,13.1,5,1,0
CLI00031,Alta Renda,136,7,11.21,2.0,5.209,0,ADV0008,0,0.1289,0.671,5.8,0.224,19.6,5,0,0
CLI00032,Alta Renda,6,1,14.2,2.6315789473684212,13.837,0,ADV0003,0,0.1,1.384,12.6,0.169,18.2,3,0,0
CLI00033,Wealth,63,7,6.82,2.0,83.926,0,ADV0048,0,0.1202,10.088,13.0,0.143,8.0,3,0,0
CLI00034,Family Office,129,4,14.6,2.0,287.906,0,ADV0048,0,0.1202,34.606,4.8,0.178,22.6,4,0,0
CLI00035,Private,20,2,16.29,1.0,24.761,0,ADV0041,1,0.1061,2.627,11.1,-0.036,9.2,4,0,0
CLI00036,Alta Renda,69,2,18.36,1.0,5.049,0,ADV0015,0,0.1504,0.759,13.3,-0.137,6.0,3,0,0
CLI00037,Alta Renda,30,2,2.5,2.0,7.325,0,ADV0005,0,0.154,1.128,10.8,-0.216,2.8,11,0,0
CLI00038,Private,29,4,10.73,2.8461538461538463,42.171,0,ADV0034,0,0.056,2.362,7.6,-0.24,11.8,3,0,0
CLI00039,Alta Renda,17,6,3.25,5.0,11.061,0,ADV0021,0,0.1223,1.353,5.6,0.267,3.4,4,0,0
CLI00040,Alta Renda,23,1,1.27,3.0,8.956,0,ADV0006,0,0.1377,1.233,10.6,-0.108,7.1,10,0,0
CLI00041,Private,20,7,12.11,1.0,25.644,0,ADV0024,0,0.102,2.616,8.3,0.232,13.3,5,0,0
CLI00042,Alta Renda,32,4,9.82,0.0,14.717,0,ADV0001,0,0.0542,0.798,19.3,-0.041,27.4,3,0,0
CLI00043,Wealth,77,2,12.76,3.0,75.209,0,ADV0045,0,0.0857,6.445,31.5,-0.149,11.0,3,0,0
CLI00044,Alta Renda,65,5,13.54,2.0,27.514,0,ADV0012,0,0.0662,1.821,24.1,-0.241,4.1,3,0,0
CLI00045,Private,98,3,16.74,2.0,33.02,0,ADV0033,0,0.0642,2.12,13.6,-0.129,12.4,4,0,0
CLI00046,Alta Renda,58,7,11.73,1.0,3.745,0,ADV0016,0,0.1544,0.578,7.8,0.312,26.7,2,0,0
CLI00047,Private,13,4,23.78,7.0,50.848,0,ADV0025,0,0.1058,5.38,23.6,-0.239,10.8,2,0,0
CLI00048,Private,84,8,12.79,2.7857142857142856,23.848,0,ADV0027,0,0.1397,3.332,20.1,0.466,30.3,7,0,0
CLI00049,Alta Renda,32,4,19.24,2.6315789473684212,5.843,1,ADV0009,0,0.1144,0.668,32.8,0.077,26.7,4,0,0
CLI00050,Family Office,55,1,1.7,6.0,1510.04,0,ADV0048,0,0.1202,181.507,15.0,0.165,21.2,4,0,0
CLI00051,Private,136,1,17.17,3.0,57.361,0,ADV0039,0,0.1042,5.977,37.7,-0.032,15.6,4,0,0
CLI00052,Wealth,98,4,10.74,0.0,129.758,0,ADV0047,0,0.1208,15.675,15.1,-0.071,29.4,4,0,0
CLI00053,Wealth,29,2,3.32,2.0,323.501,0,ADV0045,0,0.0857,27.724,7.8,-0.28,45.1,4,0,0
CLI00054,Private,65,3,13.27,1.0,10.224,0,ADV0029,0,0.1427,1.459,9.0,-0.022,9.5,7,0,0
CLI00055,Wealth,127,7,10.23,1.0,92.522,0,ADV0046,1,0.1543,14.276,18.7,-0.255,15.0,4,0,0
CLI00056,Alta Renda,136,1,13.94,1.0,8.33,0,ADV0004,0,0.1679,1.399,8.3,-0.37,27.4,6,0,0
CLI00057,Alta Renda,51,7,15.75,4.0,5.426,1,ADV0010,0,0.1446,0.785,43.7,0.037,18.8,3,0,0
CLI00058,Alta Renda,20,2,5.25,4.0,6.715,0,ADV0002,0,0.1022,0.686,17.7,-0.14,2.7,7,0,0
CLI00059,Alta Renda,22,7,15.76,6.0,10.725,0,ADV0016,0,0.1544,1.656,13.4,0.371,10.9,3,0,0
CLI00060,Alta Renda,131,5,11.53,1.0,9.969,0,ADV0019,0,0.1791,1.785,14.2,0.22,15.9,7,0,0
CLI00061,Alta Renda,89,1,17.18,2.816326530612245,8.02,0,ADV0013,0,0.1362,1.092,10.8,0.373,34.5,6,0,0
CLI00062,Private,14,2,10.64,7.0,73.28,0,ADV0043,0,0.0608,4.455,2.7,-0.15,14.4,6,0,0
CLI00063,Alta Renda,68,2,9.52,2.0,7.593,1,ADV0017,0,0.0868,0.659,12.1,-0.412,8.3,3,0,0
CLI00064,Alta Renda,122,3,11.61,2.0,6.189,0,ADV0014,1,0.1786,1.105,34.6,-0.577,16.1,1,0,0
CLI00065,Private,135,3,11.93,1.0,9.576,0,ADV0027,0,0.1397,1.338,15.3,-0.062,32.4,4,0,0
CLI00066,Alta Renda,93,5,8.72,3.0,15.156,0,ADV0007,0,0.068,1.031,25.9,0.022,8.4,7,0,0
CLI00067,Private,77,2,9.42,4.0,63.024,1,ADV0041,1,0.1061,6.687,33.0,0.159,42.0,2,0,0
CLI00068,Alta Renda,69,6,6.35,3.0,17.475,0,ADV0003,0,0.1,1.748,12.7,-0.009,8.5,3,0,0
CLI00069,Family Office,77,2,9.67,2.0,492.525,0,ADV0049,0,0.1398,68.855,20.4,0.015,4.6,9,0,0
CLI00070,Private,26,3,14.34,2.0,9.137,0,ADV0039,0,0.1042,0.952,3.0,-0.597,14.0,5,0,0
CLI00071,Alta Renda,23,6,10.92,1.0,12.259,0,ADV0010,0,0.1446,1.773,32.9,0.056,12.9,11,0,0
CLI00072,Alta Renda,69,1,15.74,2.6315789473684212,3.72,0,ADV0000,1,0.1134,0.422,31.2,0.106,3.0,2,0,0
CLI00073,Private,87,1,10.72,4.0,91.887,1,ADV0041,1,0.1061,9.749,25.1,0.357,9.8,3,0,0
CLI00074,Private,115,7,5.49,5.0,30.837,0,ADV0035,0,0.0652,2.011,15.7,0.081,15.3,3,0,0
CLI00075,Private,100,4,14.01,1.0,15.883,1,ADV0037,0,0.1863,2.959,13.3,-0.062,21.7,2,0,0
CLI00076,Private,37,3,8.67,5.0,85.736,0,ADV0039,0,0.1042,8.934,27.8,0.243,24.6,2,0,0
CLI00077,Alta Renda,16,4,10.52,0.0,6.06,0,ADV0003,0,0.1,0.606,21.9,-0.519,22.0,7,0,0
CLI00078,Alta Renda,50,6,16.7,2.6315789473684212,7.813,0,ADV0017,0,0.0868,0.678,9.9,-0.113,13.4,5,0,0
CLI00079,Alta Renda,38,3,6.62,4.0,4.173,0,ADV0005,0,0.154,0.643,5.0,-0.168,4.0,8,0,0
CLI00080,Wealth,107,5,12.19,5.0,187.443,0,ADV0044,0,0.1616,30.291,4.2,-0.008,11.4,3,0,0
CLI00081,Private,141,2,11.33,1.0,14.569,1,ADV0031,0,0.1595,2.324,34.1,-0.654,1.5,4,0,0
CLI00082,Alta Renda,16,5,14.44,5.0,7.311,0,ADV0016,0,0.1544,1.129,12.6,0.29,15.3,2,0,0
CLI00083,Alta Renda,93,6,15.09,2.0,7.086,0,ADV0003,0,0.1,0.709,18.2,-0.055,8.2,1,0,0
CLI00084,Alta Renda,46,3,12.61,1.0,12.707,1,ADV0016,0,0.1544,1.962,15.9,-0.229,6.2,6,0,0
CLI00085,Alta Renda,81,8,9.99,7.0,5.322,0,ADV0016,0,0.1544,0.822,4.2,0.049,17.2,3,0,0
CLI00086,Private,126,6,13.49,2.7650602409638556,24.43,0,ADV0037,0,0.1863,4.551,3.1,0.278,32.1,2,0,0
CLI00087,Private,51,8,17.11,3.0,133.624,0,ADV0031,0,0.1595,21.313,9.4,-0.41,3.5,2,0,0
CLI00088,Wealth,85,2,11.39,2.963855421686747,58.702,0,ADV0045,0,0.0857,5.031,10.0,0.025,18.2,2,0,0
CLI00089,Private,59,1,10.38,3.0,35.5,0,ADV0023,0,0.1145,4.065,10.0,0.252,10.1,6,0,0
CLI00090,Alta Renda,91,1,13.13,0.0,13.273,1,ADV0005,0,0.154,2.044,15.2,-0.858,13.1,11,0,0
CLI00091,Private,97,6,11.66,3.0,8.303,0,ADV0035,0,0.0652,0.541,44.7,-0.209,7.5,3,0,0
CLI00092,Private,102,4,5.88,2.7857142857142856,23.765,0,ADV0039,0,0.1042,2.476,25.6,-0.133,10.1,4,0,0
CLI00093,Private,7,3,,1.0,22.537,0,ADV0028,0,0.1197,2.698,15.5,-0.086,10.1,5,1,0
CLI00094,Private,38,3,5.84,2.0,31.353,1,ADV0039,0,0.1042,3.267,19.4,-0.208,14.9,4,0,0
CLI00095,Private,82,1,13.07,8.0,27.263,0,ADV0024,0,0.102,2.781,12.7,-0.034,6.9,11,0,0
CLI00096,Private,121,7,8.15,5.0,38.85,0,ADV0026,0,0.1872,7.273,21.4,0.332,8.1,5,0,0
CLI00097,Alta Renda,108,5,11.65,0.0,4.134,0,ADV0021,0,0.1223,0.506,12.3,-0.131,19.3,5,0,0
CLI00098,Alta Renda,108,7,13.14,1.0,4.464,0,ADV0001,0,0.0542,0.242,23.9,-0.107,6.4,4,0,0
CLI00099,Alta Renda,95,2,21.81,2.816326530612245,5.682,0,ADV0005,0,0.154,0.875,16.7,0.101,16.0,3,0,0
CLI00100,Alta Renda,127,5,14.62,2.0,7.187,0,ADV0001,0,0.0542,0.39,44.9,-0.038,10.5,5,0,0
CLI00101,Private,111,5,17.23,2.0,11.194,1,ADV0031,0,0.1595,1.785,25.0,-0.538,9.1,2,0,0
CLI00102,Alta Renda,124,6,19.36,2.0,3.0,1,ADV0016,0,0.1544,0.463,55.7,-0.192,39.8,5,0,0
CLI00103,Private,54,1,13.55,2.7857142857142856,20.155,0,ADV0025,0,0.1058,2.132,5.4,-0.022,4.7,3,0,0
CLI00104,Wealth,109,7,12.7,8.0,46.216,0,ADV0045,0,0.0857,3.961,8.0,0.215,33.5,6,0,0
CLI00105,Alta Renda,66,7,7.02,3.0,9.012,0,ADV0012,0,0.0662,0.597,41.3,-0.214,22.8,4,0,0
CLI00106,Alta Renda,128,1,11.01,3.0,17.922,0,ADV0020,0,0.1143,2.048,23.3,0.216,8.4,6,0,0
CLI00107,Private,139,7,8.46,3.0,33.761,0,ADV0038,0,0.1127,3.805,18.4,-0.022,23.2,1,0,0
CLI00108,Alta Renda,14,8,9.82,2.0,10.015,0,ADV0011,0,0.0656,0.657,52.2,-0.244,0.7,4,0,0
CLI00109,Alta Renda,11,1,,4.0,6.234,0,ADV0003,0,0.1,0.623,12.5,-0.288,7.8,4,1,0
CLI00110,Alta Renda,78,6,11.98,5.0,3.855,0,ADV0014,1,0.1786,0.689,26.7,0.426,6.5,6,0,0
CLI00111,Alta Renda,108,4,7.82,5.0,3.0,0,ADV0008,0,0.1289,0.387,28.0,-0.035,17.4,2,0,0
CLI00112,Wealth,46,5,17.27,9.0,147.693,0,ADV0047,0,0.1208,17.841,35.7,0.206,21.1,6,0,0
CLI00113,Private,119,6,15.51,2.7857142857142856,17.724,0,ADV0041,1,0.1061,1.881,4.9,-0.376,17.2,3,0,0
CLI00114,Private,13,3,15.73,7.0,54.042,1,ADV0031,0,0.1595,8.62,19.2,0.317,16.1,2,0,0
CLI00115,Wealth,77,2,3.07,2.0,94.508,0,ADV0045,0,0.0857,8.099,16.5,0.197,24.2,8,0,0
CLI00116,Private,97,4,19.68,3.0,17.938,0,ADV0041,1,0.1061,1.903,35.4,-0.056,22.1,4,0,0
CLI00117,Alta Renda,67,3,9.15,1.0,3.0,0,ADV0009,0,0.1144,0.343,17.9,-0.067,8.2,4,0,0
CLI00118,Wealth,89,5,14.77,2.963855421686747,229.213,0,ADV0045,0,0.0857,19.644,28.1,0.162,8.9,1,0,0
CLI00119,Private,67,7,22.1,2.0,30.514,0,ADV0027,0,0.1397,4.263,4.5,0.149,21.3,5,0,0
CLI00120,Private,116,1,20.55,3.0,26.291,0,ADV0041,1,0.1061,2.789,10.4,0.04,13.0,4,0,0
CLI00121,Wealth,132,5,7.39,3.0,260.344,0,ADV0045,0,0.0857,22.311,31.1,0.002,13.6,0,0,0
CLI00122,Alta Renda,12,6,5.43,3.0,6.514,0,ADV0016,0,0.1544,1.006,11.5,0.123,14.8,1,0,0
CLI00123,Alta Renda,89,2,17.51,2.0,22.303,0,ADV0005,0,0.154,3.435,13.2,-0.383,2.8,8,0,0
CLI00124,Alta Renda,137,6,12.1,2.606741573033708,3.0,0,ADV0011,0,0.0656,0.197,35.0,-0.082,7.9,6,0,0
CLI00125,Alta Renda,139,4,9.4,2.0,10.289,0,ADV0021,0,0.1223,1.258,6.5,-0.362,18.4,6,0,0
CLI00126,Private,63,4,14.11,3.0,15.232,0,ADV0042,0,0.2352,3.583,7.9,0.133,7.9,5,0,0
CLI00127,Wealth,27,2,10.82,2.888888888888889,189.784,0,ADV0044,0,0.1616,30.669,4.1,-0.149,11.3,7,0,0
CLI00128,Alta Renda,132,8,14.45,2.0,4.822,0,ADV0000,1,0.1134,0.547,35.9,-0.346,18.3,4,0,0
CLI00129,Private,8,3,,4.0,29.035,0,ADV0025,0,0.1058,3.072,25.3,-0.175,25.1,3,1,0
CLI00130,Alta Renda,132,3,14.53,4.0,5.821,0,ADV0021,0,0.1223,0.712,24.9,0.033,27.0,9,0,0
CLI00131,Alta Renda,46,4,7.74,7.0,4.179,1,ADV0011,0,0.0656,0.274,21.6,-0.245,29.5,4,0,0
CLI00132,Alta Renda,111,4,17.48,0.0,3.3,1,ADV0006,0,0.1377,0.454,4.0,-0.584,17.1,2,0,0
CLI00133,Alta Renda,19,7,14.43,2.0,7.501,0,ADV0017,0,0.0868,0.651,2.8,-0.375,11.2,2,0,0
CLI00134,Wealth,17,1,14.21,1.0,187.122,0,ADV0047,0,0.1208,22.604,31.3,0.016,5.2,4,0,0
CLI00135,Alta Renda,92,7,6.81,4.0,8.089,0,ADV0016,0,0.1544,1.249,19.2,-0.128,32.3,3,0,0
CLI00136,Private,17,7,18.64,1.0,12.744,0,ADV0025,0,0.1058,1.348,21.8,-0.057,10.9,2,0,0
CLI00137,Private,30,8,11.44,2.0,21.457,0,ADV0035,0,0.0652,1.399,15.9,-0.035,31.8,6,0,0
CLI00138,Alta Renda,50,3,14.56,2.6315789473684212,10.11,0,ADV0017,0,0.0868,0.878,7.1,0.095,16.3,2,0,0
CLI00139,Family Office,127,8,10.14,3.272727272727273,442.801,0,ADV0048,0,0.1202,53.225,10.6,0.186,25.8,1,0,0
CLI00140,Family Office,60,8,12.6,6.0,688.026,0,ADV0048,0,0.1202,82.701,5.7,0.032,12.7,7,0,0
CLI00141,Alta Renda,105,2,12.75,0.0,3.0,0,ADV0012,0,0.0662,0.199,5.1,-0.071,19.5,2,0,0
CLI00142,Private,141,3,-0.34,0.0,28.513,0,ADV0024,0,0.102,2.908,24.0,0.005,26.4,6,0,0
CLI00143,Alta Renda,124,1,13.95,2.0,11.32,0,ADV0015,0,0.1504,1.703,3.1,-0.075,9.3,2,0,0
CLI00144,Alta Renda,58,6,19.75,4.0,11.432,1,ADV0014,1,0.1786,2.042,9.1,-0.442,28.9,3,0,0
CLI00145,Alta Renda,37,4,13.77,5.0,8.841,0,ADV0001,0,0.0542,0.479,11.0,0.24,5.8,3,0,0
CLI00146,Private,56,4,7.48,2.0,11.891,0,ADV0030,0,0.1175,1.397,14.1,0.199,37.9,3,0,0
CLI00147,Private,49,1,14.23,3.0,40.703,0,ADV0025,0,0.1058,4.306,4.0,0.437,14.9,9,0,0
CLI00148,Alta Renda,87,8,15.95,3.0,5.553,0,ADV0002,0,0.1022,0.568,17.7,0.502,8.0,13,0,0
CLI00149,Alta Renda,42,7,13.65,1.0,8.294,0,ADV0014,1,0.1786,1.481,15.3,-0.259,22.5,3,0,0
CLI00150,Wealth,101,2,11.19,5.0,11.87,0,ADV0045,0,0.0857,1.017,30.9,-0.074,16.8,6,0,0
CLI00151,Alta Renda,61,8,10.48,2.606741573033708,6.409,0,ADV0011,0,0.0656,0.42,14.3,0.553,3.0,0,0,0
CLI00152,Alta Renda,110,4,10.47,6.0,11.924,0,ADV0007,0,0.068,0.811,19.0,-0.009,10.1,6,0,0
CLI00153,Private,64,5,14.43,2.0,32.734,0,ADV0024,0,0.102,3.339,7.4,0.054,6.1,2,0,0
CLI00154,Family Office,136,7,5.59,1.0,767.691,0,ADV0049,0,0.1398,107.323,7.7,-0.335,6.5,4,0,0
CLI00155,Alta Renda,40,4,9.94,3.0,5.722,0,ADV0011,0,0.0656,0.375,4.4,0.033,6.3,3,0,0
CLI00156,Private,98,5,18.2,1.0,38.529,0,ADV0033,0,0.0642,2.474,7.5,0.425,18.9,7,0,0
CLI00157,Private,102,8,18.36,4.0,28.042,0,ADV0039,0,0.1042,2.922,10.4,0.283,23.6,5,0,0
CLI00158,Alta Renda,140,1,5.29,2.606741573033708,7.428,1,ADV0011,0,0.0656,0.487,31.5,-0.311,8.1,3,0,0
CLI00159,Private,81,1,6.75,2.0,14.038,0,ADV0037,0,0.1863,2.615,6.6,-0.087,2.2,4,0,0
CLI00160,Alta Renda,54,7,10.36,1.0,3.0,0,ADV0018,0,0.1071,0.321,46.2,-0.249,1.2,7,0,0
CLI00161,Private,99,4,15.25,2.0,27.999,0,ADV0031,0,0.1595,4.466,20.1,-0.187,43.4,4,0,0
CLI00162,Private,29,3,3.82,3.0,40.693,0,ADV0031,0,0.1595,6.491,17.4,-0.42,15.0,8,0,0
CLI00163,Private,42,5,11.27,6.0,13.709,0,ADV0026,0,0.1872,2.566,13.5,-0.019,22.6,2,0,0
CLI00164,Alta Renda,9,2,9.51,2.0,8.28,0,ADV0004,0,0.1679,1.39,11.7,0.332,11.7,5,0,0
CLI00165,Wealth,113,4,17.07,4.0,146.851,0,ADV0043,0,0.0608,8.929,8.4,0.078,1.8,6,0,0
CLI00166,Alta Renda,131,2,4.46,1.0,4.635,0,ADV0016,0,0.1544,0.716,3.9,0.301,17.7,7,0,0
CLI00167,Alta Renda,25,4,11.89,2.6315789473684212,9.279,0,ADV0009,0,0.1144,1.062,6.8,0.236,35.5,2,0,0
CLI00168,Alta Renda,55,3,9.85,2.606741573033708,10.8,1,ADV0001,0,0.0542,0.585,42.6,-0.32,8.4,1,0,0
CLI00169,Private,101,3,17.67,3.0,14.378,0,ADV0029,0,0.1427,2.052,19.3,-0.167,1.5,2,0,0
CLI00170,Private,110,7,14.01,3.0,24.157,0,ADV0034,0,0.056,1.353,35.6,-0.159,5.2,5,0,0
