cliente_id,cliente_id,segmento,meses_cliente,qtd_produtos,retorno_12m_pct,freq_contato_mes,auc_milhoes,churn,engajamento_score,retorno_relativo,flag_risco,intensidade_rel,segmento_enc,churn
CLI00000,CLI00000,Alta Renda,130,7,6.95,3,3.268,1,0.2625,-4.67,0,6.7585,0.0,1
CLI00001,CLI00001,Wealth,12,6,19.12,2,47.588,0,0.15,7.5,0,2.8179,2.0,0
CLI00002,CLI00002,Private,34,5,13.98,3,14.924,0,0.1875,2.36,0,4.9288,1.0,0
CLI00003,CLI00003,Private,38,1,17.37,4,28.297,0,0.05,5.75,0,5.8963,1.0,0
CLI00004,CLI00004,Alta Renda,139,8,7.91,3,4.652,0,0.3,-3.71,0,6.8506,0.0,0
CLI00005,CLI00005,Alta Renda,116,4,7.62,3,10.69,0,0.15,-4.0,0,6.6018,0.0,0
CLI00006,CLI00006,Alta Renda,84,3,9.99,3,10.462,1,0.1125,-1.63,0,6.1588,0.0,1
CLI00007,CLI00007,Wealth,63,4,8.04,2,89.44,0,0.1,-3.58,0,4.569,2.0,0
CLI00008,CLI00008,Private,31,8,14.46,5,16.227,0,0.5,2.84,0,6.2098,1.0,0
CLI00009,CLI00009,Private,34,8,8.35,2,23.536,0,0.2,-3.27,0,3.9059,1.0,0
CLI00010,CLI00010,Alta Renda,9,5,6.58,1,23.714,1,0.0625,-5.04,0,1.596,0.0,1
CLI00011,CLI00011,Family Office,104,5,12.1,3,2102.366,0,0.1875,0.48,0,6.4518,3.0,0
CLI00012,CLI00012,Wealth,44,5,6.08,4,111.253,0,0.25,-5.54,0,6.1266,2.0,0
CLI00013,CLI00013,Alta Renda,20,4,3.94,2,4.314,0,0.1,-7.68,0,3.3447,0.0,0
CLI00014,CLI00014,Alta Renda,124,5,12.06,2,15.619,0,0.125,0.44,0,5.3044,0.0,0
CLI00015,CLI00015,Alta Renda,34,8,4.15,2,4.234,0,0.2,-7.47,0,3.9059,0.0,0
CLI00016,CLI00016,Alta Renda,80,1,14.76,3,9.217,0,0.0375,3.14,0,6.092,0.0,0
CLI00017,CLI00017,Private,121,5,5.64,1,13.886,0,0.0625,-5.98,0,3.3299,1.0,0
CLI00018,CLI00018,Alta Renda,37,2,2.09,2,11.435,1,0.05,-9.53,0,3.9963,0.0,1
CLI00019,CLI00019,Alta Renda,135,7,10.27,0,3.0,1,0.0,-1.35,0,0.0,0.0,1
CLI00020,CLI00020,Private,89,4,12.11,2,34.439,0,0.1,0.49,0,4.9435,1.0,0
CLI00021,CLI00021,Alta Renda,27,2,13.56,2,11.554,0,0.05,1.94,0,3.6608,0.0,0
CLI00022,CLI00022,Alta Renda,32,5,12.22,1,14.991,0,0.0625,0.6,0,2.4236,0.0,0
CLI00023,CLI00023,Alta Renda,86,8,7.05,4,12.79,0,0.4,-4.57,0,7.1876,0.0,0
CLI00024,CLI00024,Private,131,1,14.49,2,8.612,0,0.025,2.87,0,5.3643,1.0,0
CLI00025,CLI00025,Private,97,3,15.53,1,40.552,0,0.0375,3.91,0,3.1781,1.0,0
CLI00026,CLI00026,Alta Renda,26,6,6.44,4,21.655,0,0.3,-5.18,0,5.3044,0.0,0
CLI00027,CLI00027,Private,52,7,10.74,1,28.259,0,0.0875,-0.88,0,2.752,1.0,0
CLI00028,CLI00028,Private,106,6,10.35,4,87.663,0,0.3,-1.27,0,7.5206,1.0,0
CLI00029,CLI00029,Alta Renda,89,5,12.43,0,11.903,0,0.0,0.81,0,0.0,0.0,0
CLI00030,CLI00030,Private,11,7,10.64,4,24.765,0,0.35,-0.98,0,3.9993,1.0,0
CLI00031,CLI00031,Alta Renda,136,7,11.21,2,5.209,0,0.175,-0.41,0,5.4052,0.0,0
CLI00032,CLI00032,Alta Renda,6,1,14.2,6,13.837,0,0.075,2.58,0,3.7866,0.0,0
CLI00033,CLI00033,Wealth,63,7,6.82,2,83.926,0,0.175,-4.8,0,4.569,2.0,0
CLI00034,CLI00034,Family Office,129,4,14.6,2,287.906,0,0.1,2.98,0,5.3475,3.0,0
CLI00035,CLI00035,Private,20,2,16.29,1,24.761,0,0.025,4.67,0,2.1103,1.0,0
CLI00036,CLI00036,Alta Renda,69,2,18.36,1,5.049,0,0.025,6.74,0,2.9448,0.0,0
CLI00037,CLI00037,Alta Renda,30,2,2.5,2,7.325,0,0.05,-9.12,0,3.7726,0.0,0
CLI00038,CLI00038,Private,29,4,10.73,1,42.171,0,0.05,-0.89,0,2.3575,1.0,0
CLI00039,CLI00039,Alta Renda,17,6,3.25,5,11.061,0,0.375,-8.37,0,5.1789,0.0,0
CLI00040,CLI00040,Alta Renda,23,1,1.27,3,8.956,0,0.0375,-10.35,0,4.4057,0.0,0
CLI00041,CLI00041,Private,20,7,12.11,1,25.644,0,0.0875,0.49,0,2.1103,1.0,0
CLI00042,CLI00042,Alta Renda,32,4,9.82,0,14.717,0,0.0,-1.8,0,0.0,0.0,0
CLI00043,CLI00043,Wealth,77,2,12.76,3,75.209,0,0.075,1.14,0,6.0397,2.0,0
CLI00044,CLI00044,Alta Renda,65,5,13.54,2,27.514,0,0.125,1.92,0,4.6028,0.0,0
CLI00045,CLI00045,Private,98,3,16.74,2,33.02,0,0.075,5.12,0,5.0483,1.0,0
CLI00046,CLI00046,Alta Renda,58,7,11.73,1,3.745,0,0.0875,0.11,0,2.8263,0.0,0
CLI00047,CLI00047,Private,13,4,23.78,7,50.848,0,0.35,12.16,0,5.4878,1.0,0
CLI00048,CLI00048,Private,84,8,12.79,2,23.848,0,0.2,1.17,0,4.8808,1.0,0
CLI00049,CLI00049,Alta Renda,32,4,19.24,4,5.843,1,0.2,7.62,0,5.6274,0.0,1
CLI00050,CLI00050,Family Office,55,1,1.7,6,1510.04,0,0.075,-9.92,0,7.833,3.0,0
