assessor_id,qtd_clientes,auc_total_carteira,auc_exposto_total,pct_carteira_exposta,canal,anos_de_casa,risco_saida
ADV0048,39,20207.986,2429.001,0.1202,Broker-Dealer,13.7,0
ADV0049,25,15941.04,2228.559,0.1398,Wirehouse,10.8,0
ADV0045,69,8912.458,763.798,0.0857,Broker-Dealer,26.8,0
ADV0047,30,4611.499,557.072,0.1208,Broker-Dealer,8.1,0
ADV0044,19,2731.9159999999997,441.477,0.1616,Wirehouse,6.8,0
ADV0046,18,2149.489,331.666,0.1543,Wirehouse,5.7,1
ADV0031,42,1544.869,246.407,0.1595,Wirehouse,12.3,0
ADV0043,17,2218.8379999999997,134.905,0.0608,RIA,6.4,0
ADV0029,31,942.594,134.51,0.1427,Wirehouse,8.2,0
ADV0040,22,847.376,123.039,0.1452,Wirehouse,7.8,0
ADV0028,29,952.688,114.037,0.1197,Broker-Dealer,12.0,0
ADV0037,19,601.002,111.963,0.1863,Wirehouse,4.7,0
ADV0027,20,775.361,108.319,0.1397,Broker-Dealer,4.4,0
ADV0041,26,967.868,102.691,0.1061,Broker-Dealer,6.2,1
ADV0026,17,544.7860000000001,101.983,0.1872,Wirehouse,3.4,0
ADV0025,27,909.9399999999999,96.27,0.1058,Broker-Dealer,8.4,0
ADV0032,13,470.793,81.68299999999999,0.1735,Wirehouse,3.7,0
ADV0022,19,562.172,81.628,0.1452,Wirehouse,7.0,1
ADV0038,20,677.824,76.39,0.1127,Broker-Dealer,5.8,0
ADV0036,9,354.512,73.279,0.2067,Wirehouse,1.8,0
ADV0035,29,1081.879,70.539,0.0652,RIA,7.9,0
ADV0042,12,297.697,70.019,0.2352,Wirehouse,1.0,0
ADV0039,21,668.955,69.706,0.1042,Broker-Dealer,8.7,0
ADV0030,20,520.475,61.157,0.1175,Broker-Dealer,7.0,0
ADV0033,21,793.553,50.945,0.0642,RIA,5.1,0
ADV0005,37,315.275,48.553,0.154,Wirehouse,13.0,0
ADV0024,19,437.015,44.574,0.102,Broker-Dealer,5.5,0
ADV0023,12,366.519,41.966,0.1145,Broker-Dealer,5.2,0
ADV0021,32,284.715,34.822,0.1223,Wirehouse,17.2,0
ADV0006,29,248.871,34.268,0.1377,Wirehouse,8.2,0
ADV0017,43,378.977,32.894,0.0868,Broker-Dealer,15.4,0
ADV0009,35,282.405,32.305,0.1144,Broker-Dealer,9.9,0
ADV0014,22,167.263,29.87,0.1786,Wirehouse,4.5,1
ADV0004,24,176.85,29.693,0.1679,Wirehouse,4.6,0
ADV0016,26,190.256,29.378,0.1544,Wirehouse,11.2,0
ADV0034,16,489.726,27.425,0.056,RIA,8.1,0
ADV0000,26,233.521,26.481,0.1134,Broker-Dealer,10.7,1
ADV0010,20,180.699,26.131,0.1446,Wirehouse,12.8,0
ADV0019,18,138.215,24.755,0.1791,Wirehouse,3.9,0
ADV0018,25,202.508,21.686,0.1071,Broker-Dealer,8.4,0
ADV0015,14,129.77100000000002,19.518,0.1504,Wirehouse,5.7,0
ADV0003,22,193.74099999999999,19.374,0.1,Broker-Dealer,5.2,0
ADV0011,36,288.837,18.947,0.0656,RIA,12.1,0
ADV0013,14,139.055,18.939,0.1362,Wirehouse,5.2,0
ADV0002,18,144.984,14.818,0.1022,Broker-Dealer,6.0,0
ADV0001,30,237.28,12.86,0.0542,RIA,7.4,0
ADV0008,16,96.116,12.39,0.1289,Broker-Dealer,3.8,0
ADV0012,19,177.521,11.754,0.0662,RIA,3.3,0
ADV0020,14,101.578,11.611,0.1143,Broker-Dealer,6.4,0
ADV0007,19,158.809,10.798,0.068,RIA,4.9,0
