cliente_id,segmento,churn_prob,churn_real,explicacao
CLI00591,Varejo,0.9181,1,"Risco de Churn: [ALTO] (91.8%)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+1.2545)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.7520)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.6596)"
CLI00824,Varejo,0.895,1,"Risco de Churn: [ALTO] (89.5%)
  • Frequência de contato com assessor (meses): [+] AUMENTA risco (SHAP=+2.3832)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+1.2361)
  • Tempo como cliente (meses): [-] REDUZ risco (SHAP=-0.4186)"
CLI00973,Varejo,0.8742,1,"Risco de Churn: [ALTO] (87.4%)
  • Frequência de contato com assessor (meses): [+] AUMENTA risco (SHAP=+2.3895)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+1.1954)
  • Tempo como cliente (meses): [-] REDUZ risco (SHAP=-0.2062)"
CLI01059,Varejo,0.8734,1,"Risco de Churn: [ALTO] (87.3%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.1549)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.7139)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.4746)"
CLI00997,Varejo,0.8656,1,"Risco de Churn: [ALTO] (86.6%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.8112)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.8002)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.6849)"
CLI00412,Wealth,0.8639,1,"Risco de Churn: [ALTO] (86.4%)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+1.4211)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+1.2603)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.7253)"
CLI00600,Varejo,0.8607,1,"Risco de Churn: [ALTO] (86.1%)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.9781)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.9047)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.8290)"
CLI00882,Varejo,0.8545,1,"Risco de Churn: [ALTO] (85.5%)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.9331)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.8596)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.8169)"
CLI00477,Varejo,0.8541,1,"Risco de Churn: [ALTO] (85.4%)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+1.0817)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.9278)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.6990)"
CLI00812,Varejo,0.8442,1,"Risco de Churn: [ALTO] (84.4%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.8122)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.6798)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.6058)"
CLI00049,Varejo,0.8361,1,"Risco de Churn: [ALTO] (83.6%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.1666)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.8433)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.6561)"
CLI00703,Varejo,0.8207,1,"Risco de Churn: [ALTO] (82.1%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.8402)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.7122)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.6396)"
CLI00764,Varejo,0.8182,1,"Risco de Churn: [ALTO] (81.8%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.4179)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.7926)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.4505)"
CLI00275,Varejo,0.8173,1,"Risco de Churn: [ALTO] (81.7%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.2270)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.8833)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.5756)"
CLI00229,Varejo,0.817,1,"Risco de Churn: [ALTO] (81.7%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.1975)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+1.1474)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.8127)"
CLI01159,Varejo,0.8076,1,"Risco de Churn: [ALTO] (80.8%)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.8753)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.7448)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.4888)"
CLI00343,Varejo,0.8065,1,"Risco de Churn: [ALTO] (80.7%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.0807)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.8031)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.5838)"
CLI00181,Varejo,0.7968,1,"Risco de Churn: [ALTO] (79.7%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.0869)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.8512)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.6267)"
CLI00940,Varejo,0.7964,1,"Risco de Churn: [ALTO] (79.6%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.9296)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.6088)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.5267)"
CLI00270,Alta Renda,0.7937,1,"Risco de Churn: [ALTO] (79.4%)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+1.1386)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.9837)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.6895)"
CLI01118,Varejo,0.783,1,"Risco de Churn: [ALTO] (78.3%)
  • Frequência de contato com assessor (meses): [+] AUMENTA risco (SHAP=+1.6557)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.9674)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.8113)"
CLI00058,Varejo,0.7809,1,"Risco de Churn: [ALTO] (78.1%)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+1.2561)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.7834)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.4244)"
CLI00861,Varejo,0.7797,1,"Risco de Churn: [ALTO] (78.0%)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+1.2527)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.7409)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.6757)"
CLI00958,Varejo,0.7773,1,"Risco de Churn: [ALTO] (77.7%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.2011)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+0.8641)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.4085)"
CLI01086,Varejo,0.7738,1,"Risco de Churn: [ALTO] (77.4%)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+0.9407)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.7762)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.7204)"
CLI01174,Varejo,0.7689,1,"Risco de Churn: [ALTO] (76.9%)
  • Saldo total na custódia: [+] AUMENTA risco (SHAP=+1.1886)
  • Intensidade relativa de movimentação: [+] AUMENTA risco (SHAP=+1.1800)
  • Segmento do cliente: [+] AUMENTA risco (SHAP=+0.4012)"
