cliente_id,segmento,churn_prob,churn_real,explicacao
CLI00528,Alta Renda,0.978,1,"Risco de Churn: [ALTO] (97.8%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.3955)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.5268)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.3735)"
CLI00090,Alta Renda,0.9686,1,"Risco de Churn: [ALTO] (96.9%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+5.1298)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.3146)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.2810)"
CLI00926,Alta Renda,0.9648,1,"Risco de Churn: [ALTO] (96.5%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.2818)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.7270)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.6189)"
CLI00764,Alta Renda,0.964,1,"Risco de Churn: [ALTO] (96.4%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.8815)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.4603)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.4357)"
CLI01004,Private,0.9639,1,"Risco de Churn: [ALTO] (96.4%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.4949)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.0820)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.3898)"
CLI00081,Private,0.963,1,"Risco de Churn: [ALTO] (96.3%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+5.0728)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.2432)
  • Tempo médio de resposta do cliente ao assessor: [-] REDUZ risco (SHAP=-0.7459)"
CLI00213,Alta Renda,0.9376,1,"Risco de Churn: [ALTO] (93.8%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+5.0958)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.2719)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.2128)"
CLI01027,Wealth,0.9275,1,"Risco de Churn: [ALTO] (92.8%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.5531)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.6785)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.5025)"
CLI00613,Alta Renda,0.9242,1,"Risco de Churn: [ALTO] (92.4%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.4671)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.3448)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.2886)"
CLI00531,Family Office,0.9231,1,"Risco de Churn: [ALTO] (92.3%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+2.6426)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.9577)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+0.8277)"
CLI00132,Alta Renda,0.9215,1,"Risco de Churn: [ALTO] (92.2%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.6402)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.5992)
  • Dias desde o último contato com o assessor: [-] REDUZ risco (SHAP=-0.4958)"
CLI00639,Alta Renda,0.9182,1,"Risco de Churn: [ALTO] (91.8%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+5.2846)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.4275)
  • AuC total sob custódia (R$ milhões): [-] REDUZ risco (SHAP=-0.3752)"
CLI00838,Private,0.9099,1,"Risco de Churn: [ALTO] (91.0%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+3.9095)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.5564)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.4208)"
CLI00920,Wealth,0.9021,1,"Risco de Churn: [ALTO] (90.2%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.7058)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.5257)
  • AuC total sob custódia (R$ milhões): [-] REDUZ risco (SHAP=-0.5199)"
CLI00601,Alta Renda,0.8941,1,"Risco de Churn: [ALTO] (89.4%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.9130)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.6862)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.4548)"
CLI00311,Alta Renda,0.8745,1,"Risco de Churn: [ALTO] (87.5%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.9807)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.5489)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.7390)"
CLI00229,Private,0.8648,1,"Risco de Churn: [ALTO] (86.5%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+2.9186)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.4441)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.6590)"
CLI00201,Alta Renda,0.8645,1,"Risco de Churn: [ALTO] (86.5%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+2.1451)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.6324)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.6638)"
CLI00000,Alta Renda,0.8615,1,"Risco de Churn: [ALTO] (86.2%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.8238)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.4887)
  • Quantidade de produtos contratados: [+] AUMENTA risco (SHAP=+0.3078)"
CLI00330,Alta Renda,0.8549,1,"Risco de Churn: [ALTO] (85.5%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+2.1906)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.4166)
  • Tempo como cliente (meses): [+] AUMENTA risco (SHAP=+0.3382)"
CLI00497,Alta Renda,0.849,1,"Risco de Churn: [ALTO] (84.9%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.8024)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.6265)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.9024)"
CLI00527,Alta Renda,0.8469,1,"Risco de Churn: [ALTO] (84.7%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+2.7634)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.8086)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.3956)"
CLI00917,Wealth,0.8405,1,"Risco de Churn: [ALTO] (84.0%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.5982)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+1.5807)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+1.2703)"
CLI00514,Alta Renda,0.8356,1,"Risco de Churn: [ALTO] (83.6%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.6442)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.4422)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+0.8599)"
CLI01157,Wealth,0.8347,1,"Risco de Churn: [ALTO] (83.5%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+4.9632)
  • AuC total sob custódia (R$ milhões): [-] REDUZ risco (SHAP=-0.3594)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+0.2083)"
CLI00545,Alta Renda,0.8345,1,"Risco de Churn: [ALTO] (83.5%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+3.0323)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.6193)
  • Dias desde o último contato com o assessor: [-] REDUZ risco (SHAP=-0.2051)"
CLI00884,Private,0.8335,1,"Risco de Churn: [ALTO] (83.4%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+2.2075)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.5760)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.2988)"
CLI01046,Alta Renda,0.8277,1,"Risco de Churn: [ALTO] (82.8%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.5345)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.4509)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.8630)"
CLI01129,Alta Renda,0.8269,1,"Risco de Churn: [ALTO] (82.7%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.7340)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.7083)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.3961)"
CLI00995,Alta Renda,0.8259,1,"Risco de Churn: [ALTO] (82.6%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.7563)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.4729)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+0.6952)"
CLI00688,Private,0.8214,1,"Risco de Churn: [ALTO] (82.1%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.8038)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.6893)
  • Retorno da carteira nos últimos 12 meses: [+] AUMENTA risco (SHAP=+0.5899)"
CLI00505,Alta Renda,0.815,1,"Risco de Churn: [ALTO] (81.5%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.6739)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.3570)
  • AuC total sob custódia (R$ milhões): [+] AUMENTA risco (SHAP=+1.1103)"
CLI00018,Alta Renda,0.8143,1,"Risco de Churn: [ALTO] (81.4%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+2.7769)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.6334)
  • Retorno relativo ao benchmark de mercado: [-] REDUZ risco (SHAP=-0.4173)"
CLI01002,Wealth,0.8067,1,"Risco de Churn: [ALTO] (80.7%)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+3.7308)
  • Retorno relativo ao benchmark de mercado: [+] AUMENTA risco (SHAP=+0.2578)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+0.2175)"
CLI00384,Private,0.8044,1,"Risco de Churn: [ALTO] (80.4%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.9793)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+1.5549)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.3203)"
CLI00269,Alta Renda,0.7992,1,"Risco de Churn: [ALTO] (79.9%)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.5959)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.4139)
  • Tempo médio de resposta do cliente ao assessor: [+] AUMENTA risco (SHAP=+0.4842)"
CLI00158,Alta Renda,0.7959,1,"Risco de Churn: [ALTO] (79.6%)
  • Dias desde o último contato com o assessor: [+] AUMENTA risco (SHAP=+1.8504)
  • Variação da cadência de contato (últimos 3 meses): [+] AUMENTA risco (SHAP=+1.7839)
  • Score de engajamento do cliente: [+] AUMENTA risco (SHAP=+0.2207)"
